country,spatial_democracy,pop_prop,region,pop_prop_log,rep_type
Albania,0.6,23275.47857142857,Europe,10.055155663541983,Moderate
Albania,0.8,20426.76129032258,Europe,9.924601148094768,Moderate
Albania,0.8,21972.564285714285,Europe,9.99754987616961,Moderate
Albania,0.8,20919.442857142858,Europe,9.948434285756479,Moderate
Albania,0.8,20704.514285714286,Europe,9.938107036912633,Moderate
Albania,0.8,20513.957142857143,Europe,9.928860769699586,Moderate
Anguilla,1,598.9090909090909,Americas,6.395109818499161,High
Anguilla,1,632.2727272727273,Americas,6.449320831559173,High
Anguilla,1,763.5454545454545,Americas,6.637972657327256,High
Anguilla,1,883.0909090909091,Americas,6.783428150107319,High
Anguilla,1,1016.0909090909091,Americas,6.923718101587241,High
Anguilla,1,1115.1818181818182,Americas,7.0167727362343815,High
Anguilla,1,1213.1818181818182,Americas,7.101001789040254,High
Anguilla,1,1291.8181818181818,Americas,7.163805948292776,High
Anguilla,1,1349.3636363636363,Americas,7.207388379826394,High
Antigua and Barbuda,1,3359.9473684210525,Americas,8.119680588674164,Moderate
Antigua and Barbuda,1,3395.4210526315787,Americas,8.13018305369647,Moderate
Antigua and Barbuda,1,1794.1944444444443,Americas,7.492311422723357,High
Antigua and Barbuda,1,1751.8333333333333,Americas,7.468418137595299,High
Antigua and Barbuda,1,1894.138888888889,Americas,7.54651960204418,High
Antigua and Barbuda,1,2080.8888888888887,Americas,7.640550431834527,High
Antigua and Barbuda,1,2211.4166666666665,Americas,7.701388614783648,High
Antigua and Barbuda,1,2370,Americas,7.7706452341291765,High
Antigua and Barbuda,1,2483.5833333333335,Americas,7.817457688779436,High
Antigua and Barbuda,1,2551.277777777778,Americas,7.844349601973759,High
Argentina,0.6,83928.38116591929,Americas,11.33771910898331,Low
Argentina,0.6,79632.98828125,Americas,11.285183711625729,Low
Argentina,0.4,84722.71647509579,Americas,11.347139043914877,Low
Argentina,0,82929.83012820513,Americas,11.325750109067474,Low
Argentina,0.6,101121.47,Americas,11.524077746458564,Low
Argentina,1,109186.33666666667,Americas,11.600811212364396,Low
Argentina,1,106595.80547112462,Americas,11.576799441638821,Low
Argentina,1,113112.41337386018,Americas,11.63613741181854,Low
Argentina,1,119199.96656534955,Americas,11.688557753121312,Low
Argentina,1,125497.55015197568,Americas,11.740041516662055,Low
